Fish ID,Length,Depth
fish_28.jpg,27.23cm,7.71cm
fish_29.jpg,24.75cm,7.13cm
fish_30.jpg,25.73cm,7.95cm
fish_31.jpg,27.01cm,8.09cm
fish_32.jpg,27.05cm,8.37cm
fish_33.jpg,1.04cm,2.77cm
fish_34.jpg,24.33cm,6.96cm
fish_35.jpg,5.61cm,5.23cm
fish_36.jpg,25.54cm,8.04cm
fish_37.jpg,25.51cm,8.19cm
fish_38.jpg,1.38cm,1.55cm
fish_39.jpg,25.32cm,7.04cm
fish_40.jpg,32.96cm,10.34cm
fish_41.jpg,31.55cm,9.48cm
fish_42.jpg,30.58cm,8.83cm
fish_43.jpg,27.64cm,8.08cm
fish_44.jpg,30.26cm,9.08cm
fish_45.jpg,25.31cm,8.25cm
fish_46.jpg,26.88cm,7.92cm
fish_47.jpg,27.05cm,8.95cm
fish_48.jpg,31.03cm,10.18cm
fish_49.jpg,29.57cm,9.29cm
fish_50.jpg,28.90cm,9.39cm
fish_51.jpg,26.68cm,8.16cm
fish_52.jpg,28.29cm,9.88cm
fish_53.jpg,30.06cm,8.86cm
fish_54.jpg,22.64cm,7.24cm
fish_55.jpg,31.21cm,10.58cm
fish_56.jpg,24.29cm,7.30cm
fish_57.jpg,9.32cm,2.99cm
fish_58.jpg,9.32cm,2.99cm
