#,Fish#,Frame,Value
1,0,121,2291
2,1,151,Z29MUSI3
3,1,181,Z29MUS9SI3
4,1,211,Z29MUS9SI3
5,1,241,Z29MUS9I3
6,1,271,729MUSI3
7,1,421,19HC1FW
8,2,451,ISHC1FWE
9,2,481,IGHC1FWE
10,2,511,IOHC1FWE
11,2,541,IOHC1FWE
12,2,571,1FWE
13,2,721,aL3U2NGV
14,3,751,L3U2NGV1
15,3,781,L3U2NGVI1
16,3,811,L3U2NGVI1
17,3,841,L3U2NGV1
18,3,871,GV1
19,3,961,TEUB383I
20,3,991,TEUB383l
21,3,1021,TEUB383I
22,3,1051,TEUB383I
23,3,1081,TEUB3383I
24,3,1111,31
25,3,1321,CAB
26,4,1351,CA62VUF4
27,4,1381,CA62VUEFA4
28,4,1411,CA62VUEFA4
29,4,1441,CA62VUFA4
30,4,1471,A62VUFA4
31,4,1531,m32s
32,4,1561,Mm32sSpobi
33,4,1591,m32spobi
34,4,1621,m32spobi
35,4,1651,M32spobi
36,4,1681,32Spobi
37,4,1921,6784
38,5,1951,67B4RLBN
39,5,1981,67BA4RLBN
40,5,2011,67B4RLBN
41,5,2041,67B4RLBN
42,5,2071,x4RLBN
43,5,2371,LRW2
44,6,2401,LRW2HINU
45,6,2431,LRW2HINU
46,6,2461,LRW2HINU
47,6,2491,LRW2HINU
48,6,2521,W2HINU
49,6,2581,Pl
50,6,2611,PLN1MODQ
51,6,2641,PLN1MODQ
52,6,2671,PLN1MODQ
53,6,2701,PLN1MODAQ
54,6,2731,BPLN1MoDQ
55,6,2761,DQ
